x, y, t
8.056640640542301890e-01,2.134930591423984669e-01,0.000000000000000000e+00
7.275952182041184324e-01,5.720844608093567096e-01,1.000000000000000000e+00
2.916252776611140130e-01,8.476692799871758943e-01,1.000000000000000000e+00
9.183288076382155607e-01,8.271543283277125180e-01,0.000000000000000000e+00
6.531909103559820906e-01,2.659985222757177414e-01,0.000000000000000000e+00
9.436922851259210709e-01,6.409897354781848300e-01,0.000000000000000000e+00
9.394029630959908062e-01,6.775199729154373074e-01,0.000000000000000000e+00
6.274386689958166841e-01,2.578623086146247800e-02,0.000000000000000000e+00
7.295650483386045826e-01,9.329538278146313202e-01,1.000000000000000000e+00
4.295708711249686118e-01,4.425972320514799385e-01,1.000000000000000000e+00
8.111738729839207407e-01,9.463204557844060449e-01,1.000000000000000000e+00
2.298009470597957016e-01,9.458253067766201339e-01,1.000000000000000000e+00
4.638847795148992592e-02,4.659718080561516818e-01,1.000000000000000000e+00
1.587814062033725548e-01,5.612119186954384054e-01,1.000000000000000000e+00
3.858515409764636805e-01,8.685201958325702298e-01,1.000000000000000000e+00
8.285839280080271596e-01,3.993930118363131498e-02,0.000000000000000000e+00
2.931902041434661932e-01,8.605473104741144796e-01,1.000000000000000000e+00
8.078987437705484886e-01,8.524746208011851900e-01,1.000000000000000000e+00
3.081962928550372460e-01,3.550720023311157991e-01,1.000000000000000000e+00
4.615087585046048213e-01,5.347584952924766544e-02,0.000000000000000000e+00
6.326894351529889216e-01,2.050040064679260476e-01,0.000000000000000000e+00
5.581854144532902851e-01,3.534267615898112336e-01,1.000000000000000000e+00
2.984774597801380658e-01,1.990621678275209527e-01,1.000000000000000000e+00
9.058006740171353766e-02,6.058279555635813773e-01,1.000000000000000000e+00
3.269002395102391656e-01,5.699521344511104815e-02,0.000000000000000000e+00
4.648783739148998340e-01,3.083238615409682470e-01,1.000000000000000000e+00
8.680754120280101960e-01,1.236643538701568401e-01,0.000000000000000000e+00
3.262600205259968966e-01,8.891348985917886250e-01,1.000000000000000000e+00
8.133556943737052514e-02,2.028098203268913213e-01,1.000000000000000000e+00
1.916171811600667629e-01,2.908390351362846182e-01,1.000000000000000000e+00
5.704146700370108514e-01,6.301611252021271925e-01,1.000000000000000000e+00
3.093723032990580712e-02,8.455577008919369364e-01,1.000000000000000000e+00
6.059338980689400467e-01,8.297761823774628676e-01,1.000000000000000000e+00
2.532980517560633471e-01,7.955235180215158852e-01,1.000000000000000000e+00
8.149514009519679414e-01,9.440881183884427541e-01,1.000000000000000000e+00
7.849024504578757666e-01,8.236320476497221987e-01,1.000000000000000000e+00
9.005409305684808352e-01,3.015968283029187846e-01,0.000000000000000000e+00
7.376919938220112272e-01,6.934354947347425302e-01,1.000000000000000000e+00
3.991541792120415488e-01,6.328038992523598028e-01,1.000000000000000000e+00
5.075477487134084642e-01,1.944226540103725087e-01,0.000000000000000000e+00
1.109232545990521679e-01,6.053819852003241575e-01,1.000000000000000000e+00
7.927403403847598229e-01,6.410630259510718965e-03,0.000000000000000000e+00
5.352746386829043690e-02,3.271825117808634387e-01,1.000000000000000000e+00
7.989687204914974750e-01,4.453308599051277739e-01,0.000000000000000000e+00
6.259262290714621146e-01,4.558043419301234245e-01,1.000000000000000000e+00
8.038725118870425623e-01,5.100094076306860291e-01,0.000000000000000000e+00
9.263329470252765763e-01,3.960761518064248587e-01,0.000000000000000000e+00
2.234870649911477880e-01,8.534649370173780225e-01,1.000000000000000000e+00
3.577905350107928317e-01,1.026888343146743487e-01,0.000000000000000000e+00
5.246954333680945437e-01,3.274908832562907213e-01,1.000000000000000000e+00
3.426993499727221115e-01,2.285739488995496282e-01,1.000000000000000000e+00
1.625124582611711110e-01,1.703267208467870164e-01,1.000000000000000000e+00
3.735620435771019876e-01,7.360868938338891443e-01,1.000000000000000000e+00
3.267793798334837074e-01,6.163621493380733174e-01,1.000000000000000000e+00
4.647833000045034080e-01,6.534360272589337937e-01,1.000000000000000000e+00
4.843044088528573043e-01,5.435775132288154232e-01,1.000000000000000000e+00
